L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 10.0, 1, 6, 15, 32, 0.717941176471
40, 10.0, 1, 11, 15, 32, 0.757647058824
40, 9.0, 1, 12, 15, 32, 0.602647058824
40, 0.5, 1, 18, 15, 32, 0.408823529412
40, 6.5, 1, 8, 15, 32, 0.427058823529
40, 2.0, 1, 13, 15, 32, 0.392058823529
40, 9.5, 1, 11, 15, 32, 0.663235294118
40, 7.0, 1, 13, 15, 32, 0.448529411765
40, 1.0, 1, 2, 15, 32, 0.409411764706
40, 6.0, 1, 19, 15, 32, 0.398529411765
40, 8.5, 1, 14, 15, 32, 0.586764705882
40, 2.5, 1, 3, 15, 32, 0.426764705882
40, 5.0, 1, 18, 15, 32, 0.401764705882
40, 9.5, 1, 12, 15, 32, 0.709117647059
40, 0.0, 1, 6, 15, 32, 0.396764705882
40, 10.0, 1, 19, 15, 32, 0.74
40, 4.0, 1, 17, 15, 32, 0.373529411765
40, 10.0, 1, 4, 15, 32, 0.718235294118
40, 5.5, 1, 1, 15, 32, 0.420294117647
40, 4.0, 1, 13, 15, 32, 0.370588235294
40, 5.5, 1, 17, 15, 32, 0.382352941176
40, 1.5, 1, 12, 15, 32, 0.410588235294
40, 9.0, 1, 18, 15, 32, 0.635294117647
40, 9.0, 1, 13, 15, 32, 0.645882352941
40, 9.0, 1, 1, 15, 32, 0.554117647059
40, 3.0, 1, 6, 15, 32, 0.422058823529
40, 2.5, 1, 19, 15, 32, 0.374705882353
40, 3.0, 1, 2, 15, 32, 0.414117647059
40, 2.0, 1, 7, 15, 32, 0.423529411765
40, 3.5, 1, 16, 15, 32, 0.375294117647
40, 1.0, 1, 3, 15, 32, 0.418823529412
40, 3.5, 1, 9, 15, 32, 0.389705882353
40, 1.0, 1, 6, 15, 32, 0.410294117647
40, 0.0, 1, 14, 15, 32, 0.417058823529
40, 9.5, 1, 2, 15, 32, 0.606176470588
40, 6.5, 1, 15, 15, 32, 0.396176470588
40, 7.5, 1, 14, 15, 32, 0.498235294118
40, 5.0, 1, 13, 15, 32, 0.377941176471
40, 10.0, 1, 18, 15, 32, 0.740294117647
40, 8.5, 1, 16, 15, 32, 0.604705882353
40, 10.0, 1, 3, 15, 32, 0.689117647059
40, 4.0, 1, 12, 15, 32, 0.358823529412
40, 7.5, 1, 4, 15, 32, 0.464117647059
40, 6.5, 1, 6, 15, 32, 0.427352941176
40, 7.5, 1, 13, 15, 32, 0.441176470588
40, 9.0, 1, 19, 15, 32, 0.625882352941
40, 3.5, 1, 6, 15, 32, 0.382352941176
40, 0.5, 1, 7, 15, 32, 0.430882352941
40, 9.0, 1, 2, 15, 32, 0.550294117647
40, 3.0, 1, 7, 15, 32, 0.389117647059
40, 3.0, 1, 11, 15, 32, 0.402352941176
40, 2.0, 1, 6, 15, 32, 0.42
40, 8.5, 1, 2, 15, 32, 0.520294117647
40, 2.0, 1, 10, 15, 32, 0.419411764706
40, 4.5, 1, 12, 15, 32, 0.385
40, 1.0, 1, 16, 15, 32, 0.422058823529
40, 0.5, 1, 10, 15, 32, 0.391764705882
40, 1.0, 1, 7, 15, 32, 0.425588235294
40, 1.0, 1, 19, 15, 32, 0.369705882353
40, 1.0, 1, 11, 15, 32, 0.419411764706
40, 2.5, 1, 1, 15, 32, 0.415
40, 1.5, 1, 2, 15, 32, 0.430588235294
40, 7.5, 1, 2, 15, 32, 0.459705882353
40, 2.5, 1, 8, 15, 32, 0.4
40, 6.5, 1, 20, 15, 32, 0.388823529412
40, 5.0, 1, 15, 15, 32, 0.387941176471
40, 4.0, 1, 5, 15, 32, 0.386176470588
40, 4.0, 1, 18, 15, 32, 0.368529411765
40, 4.0, 1, 14, 15, 32, 0.374705882353
40, 3.0, 1, 8, 15, 32, 0.416470588235
40, 4.5, 1, 14, 15, 32, 0.377941176471
40, 3.0, 1, 15, 15, 32, 0.38
40, 9.0, 1, 9, 15, 32, 0.587647058824
40, 2.0, 1, 9, 15, 32, 0.385294117647
40, 3.5, 1, 10, 15, 32, 0.365
40, 7.5, 1, 18, 15, 32, 0.503529411765
40, 8.0, 1, 20, 15, 32, 0.519705882353
40, 8.0, 1, 8, 15, 32, 0.521176470588
40, 6.5, 1, 14, 15, 32, 0.411470588235
40, 3.5, 1, 11, 15, 32, 0.387352941176
40, 1.0, 1, 18, 15, 32, 0.375294117647
40, 7.0, 1, 11, 15, 32, 0.421176470588
40, 4.5, 1, 3, 15, 32, 0.407058823529
40, 6.0, 1, 13, 15, 32, 0.392058823529
40, 0.0, 1, 2, 15, 32, 0.406470588235
40, 9.5, 1, 18, 15, 32, 0.735
