L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 3.0, 1, 2, 15, 32, 0.51
40, 3.5, 1, 8, 15, 32, 0.39
40, 2.0, 1, 14, 15, 32, 0.39
40, 2.0, 1, 18, 15, 32, 0.41
40, 2.0, 1, 3, 15, 32, 0.45
40, 9.5, 1, 8, 15, 32, 0.64
40, 4.5, 1, 1, 15, 32, 0.44
40, 6.5, 1, 10, 15, 32, 0.46
40, 1.0, 1, 4, 15, 32, 0.49
40, 9.5, 1, 15, 15, 32, 0.63
40, 8.5, 1, 11, 15, 32, 0.64
40, 1.5, 1, 16, 15, 32, 0.4
40, 5.5, 1, 5, 15, 32, 0.33
40, 7.5, 1, 12, 15, 32, 0.41
40, 1.5, 1, 15, 15, 32, 0.51
40, 3.5, 1, 3, 15, 32, 0.49
40, 4.0, 1, 10, 15, 32, 0.32
40, 4.0, 1, 6, 15, 32, 0.35
40, 9.0, 1, 17, 15, 32, 0.53
40, 3.0, 1, 3, 15, 32, 0.4
40, 9.0, 1, 20, 15, 32, 0.62
40, 3.0, 1, 13, 15, 32, 0.39
40, 3.0, 1, 18, 15, 32, 0.38
40, 2.0, 1, 12, 15, 32, 0.31
40, 6.5, 1, 17, 15, 32, 0.36
40, 1.0, 1, 5, 15, 32, 0.42
40, 1.0, 1, 9, 15, 32, 0.41
40, 0.5, 1, 19, 15, 32, 0.32
40, 8.5, 1, 20, 15, 32, 0.46
40, 4.5, 1, 9, 15, 32, 0.36
40, 6.0, 1, 2, 15, 32, 0.48
40, 0.0, 1, 16, 15, 32, 0.42
40, 5.5, 1, 9, 15, 32, 0.38
40, 0.5, 1, 6, 15, 32, 0.4
40, 7.5, 1, 13, 15, 32, 0.4
40, 8.5, 1, 13, 15, 32, 0.72
40, 3.0, 1, 10, 15, 32, 0.44
40, 1.5, 1, 14, 15, 32, 0.31
40, 3.0, 1, 1, 15, 32, 0.46
40, 2.0, 1, 11, 15, 32, 0.45
40, 8.0, 1, 14, 15, 32, 0.43
40, 1.0, 1, 10, 15, 32, 0.5
40, 7.0, 1, 19, 15, 32, 0.41
40, 7.0, 1, 18, 15, 32, 0.45
40, 7.0, 1, 15, 15, 32, 0.41
40, 7.5, 1, 20, 15, 32, 0.59
40, 7.0, 1, 16, 15, 32, 0.39
40, 3.5, 1, 2, 15, 32, 0.39
40, 7.5, 1, 5, 15, 32, 0.55
40, 8.5, 1, 7, 15, 32, 0.57
40, 1.5, 1, 1, 15, 32, 0.35
40, 5.0, 1, 14, 15, 32, 0.38
40, 1.5, 1, 6, 15, 32, 0.53
40, 5.0, 1, 9, 15, 32, 0.41
40, 6.5, 1, 9, 15, 32, 0.45
40, 7.5, 1, 11, 15, 32, 0.63
40, 4.0, 1, 15, 15, 32, 0.34
40, 3.5, 1, 20, 15, 32, 0.43
40, 0.5, 1, 18, 15, 32, 0.33
40, 2.5, 1, 17, 15, 32, 0.51
40, 3.0, 1, 14, 15, 32, 0.35
40, 8.0, 1, 9, 15, 32, 0.47
40, 8.0, 1, 18, 15, 32, 0.5
40, 0.0, 1, 4, 15, 32, 0.33
40, 7.0, 1, 10, 15, 32, 0.46
40, 7.0, 1, 6, 15, 32, 0.38
40, 1.0, 1, 1, 15, 32, 0.41
40, 4.5, 1, 4, 15, 32, 0.46
40, 7.0, 1, 17, 15, 32, 0.33
40, 5.5, 1, 17, 15, 32, 0.39
40, 9.5, 1, 3, 15, 32, 0.63
40, 6.0, 1, 11, 15, 32, 0.43
40, 6.0, 1, 7, 15, 32, 0.33
40, 0.5, 1, 17, 15, 32, 0.39
40, 0.0, 1, 11, 15, 32, 0.45
40, 5.0, 1, 10, 15, 32, 0.34
40, 5.0, 1, 6, 15, 32, 0.4
40, 2.5, 1, 6, 15, 32, 0.45
40, 1.5, 1, 3, 15, 32, 0.41
40, 3.5, 1, 18, 15, 32, 0.44
40, 2.5, 1, 4, 15, 32, 0.44
40, 8.5, 1, 4, 15, 32, 0.53
40, 2.5, 1, 5, 15, 32, 0.4
40, 6.5, 1, 7, 15, 32, 0.44
40, 3.5, 1, 17, 15, 32, 0.45
40, 9.0, 1, 10, 15, 32, 0.61
40, 0.0, 1, 19, 15, 32, 0.44
40, 8.0, 1, 6, 15, 32, 0.49
40, 3.5, 1, 1, 15, 32, 0.37
40, 8.0, 1, 11, 15, 32, 0.48
40, 4.5, 1, 6, 15, 32, 0.45
40, 3.5, 1, 12, 15, 32, 0.4
40, 7.0, 1, 7, 15, 32, 0.43
40, 7.0, 1, 2, 15, 32, 0.39
40, 7.5, 1, 18, 15, 32, 0.44
40, 6.0, 1, 6, 15, 32, 0.37
40, 4.5, 1, 5, 15, 32, 0.43
40, 6.0, 1, 18, 15, 32, 0.41
40, 7.5, 1, 9, 15, 32, 0.53
40, 4.5, 1, 12, 15, 32, 0.35
40, 0.0, 1, 14, 15, 32, 0.35
40, 5.0, 1, 7, 15, 32, 0.31
40, 4.0, 1, 20, 15, 32, 0.42
40, 8.5, 1, 19, 15, 32, 0.68
