L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1.5, 1, 6, 12, 32, gauss, 0.11705
40, 7.5, 1, 1, 12, 32, gauss, 0.1409
40, 6.0, 1, 8, 12, 32, gauss, 0.119
40, 7.0, 1, 8, 12, 32, gauss, 0.1295
40, 0.5, 1, 9, 8, 32, gauss, 0.03725
40, 5.5, 1, 11, 8, 32, gauss, 0.03485
40, 5.5, 1, 6, 8, 32, gauss, 0.03885
40, 5.0, 1, 4, 8, 32, gauss, 0.03875
40, 3.0, 1, 7, 8, 32, gauss, 0.0372
40, 1.0, 1, 12, 12, 32, gauss, 0.1175
40, 1.5, 1, 1, 8, 32, gauss, 0.0338
40, 0.5, 1, 11, 12, 32, gauss, 0.1294
40, 1.0, 1, 2, 8, 32, gauss, 0.0359
40, 1.0, 1, 10, 8, 32, gauss, 0.04095
40, 5.5, 1, 3, 16, 32, gauss, 0.23225
40, 5.0, 1, 5, 8, 32, gauss, 0.0367
40, 0.5, 1, 3, 8, 32, gauss, 0.03705
40, 1.0, 1, 3, 8, 32, gauss, 0.03425
40, 3.5, 1, 7, 8, 32, gauss, 0.04125
40, 4.5, 1, 2, 12, 32, gauss, 0.1239
40, 1.5, 1, 12, 16, 32, gauss, 0.22765
40, 1.0, 1, 9, 16, 32, gauss, 0.23335
40, 7.5, 1, 1, 16, 32, gauss, 0.2588
40, 2.5, 1, 2, 16, 32, gauss, 0.23935
40, 0.0, 1, 1, 12, 32, gauss, 0.11745
40, 7.5, 1, 13, 16, 32, gauss, 0.2691
40, 2.5, 1, 9, 12, 32, gauss, 0.1232
40, 5.5, 1, 2, 8, 32, gauss, 0.0379
40, 0.5, 1, 10, 16, 32, gauss, 0.22795
40, 7.5, 1, 1, 8, 32, gauss, 0.04655
40, 0.0, 1, 7, 8, 32, gauss, 0.03645
40, 2.5, 1, 4, 8, 32, gauss, 0.03795
40, 0.5, 1, 9, 12, 32, gauss, 0.12505
40, 6.5, 1, 1, 8, 32, gauss, 0.0426
40, 6.5, 1, 12, 12, 32, gauss, 0.11745
