L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 4.5, 1, 5.5, 15, 32, 0.371
40, 5.75, 1, 11.5, 15, 32, 0.378
40, 6.75, 1, 11.0, 15, 32, 0.425
40, 4.25, 1, 6.5, 15, 32, 0.383
40, 4.25, 1, 6.0, 15, 32, 0.382
40, 5.0, 1, 10.0, 15, 32, 0.388
40, 5.0, 1, 13.0, 15, 32, 0.376
40, 5.75, 1, 5.5, 15, 32, 0.395
40, 4.0, 1, 13.5, 15, 32, 0.377
40, 6.25, 1, 9.0, 15, 32, 0.346
40, 6.5, 1, 10.5, 15, 32, 0.413
40, 4.0, 1, 14.0, 15, 32, 0.395
40, 6.5, 1, 8.5, 15, 32, 0.446
40, 6.25, 1, 11.5, 15, 32, 0.403
40, 4.0, 1, 12.0, 15, 32, 0.339
40, 5.25, 1, 12.0, 15, 32, 0.387
40, 4.25, 1, 12.5, 15, 32, 0.352
40, 6.25, 1, 14.0, 15, 32, 0.386
40, 6.5, 1, 8.0, 15, 32, 0.451
40, 6.5, 1, 6.0, 15, 32, 0.443
40, 5.25, 1, 10.0, 15, 32, 0.39
40, 4.0, 1, 10.5, 15, 32, 0.42
40, 6.5, 1, 10.0, 15, 32, 0.406
40, 5.25, 1, 7.0, 15, 32, 0.376
40, 4.75, 1, 9.5, 15, 32, 0.385
40, 5.25, 1, 14.5, 15, 32, 0.378
40, 4.5, 1, 7.0, 15, 32, 0.381
40, 5.25, 1, 5.5, 15, 32, 0.394
40, 5.5, 1, 9.5, 15, 32, 0.4
40, 5.5, 1, 9.0, 15, 32, 0.411
40, 6.0, 1, 8.0, 15, 32, 0.378
40, 6.25, 1, 6.5, 15, 32, 0.373
40, 6.75, 1, 14.0, 15, 32, 0.419
40, 4.5, 1, 12.5, 15, 32, 0.411
40, 6.5, 1, 11.5, 15, 32, 0.364
40, 5.5, 1, 13.0, 15, 32, 0.408
40, 4.25, 1, 13.0, 15, 32, 0.403
40, 4.75, 1, 12.5, 15, 32, 0.349
40, 6.0, 1, 12.5, 15, 32, 0.393
40, 6.25, 1, 12.5, 15, 32, 0.404
40, 5.0, 1, 9.5, 15, 32, 0.368
40, 6.25, 1, 10.0, 15, 32, 0.389
40, 6.5, 1, 9.0, 15, 32, 0.447
40, 6.75, 1, 10.0, 15, 32, 0.449
40, 6.75, 1, 9.5, 15, 32, 0.395
40, 4.25, 1, 8.5, 15, 32, 0.354
40, 5.75, 1, 9.5, 15, 32, 0.423
40, 4.0, 1, 11.0, 15, 32, 0.386
40, 5.0, 1, 13.5, 15, 32, 0.405
40, 4.5, 1, 11.5, 15, 32, 0.375
40, 4.25, 1, 5.5, 15, 32, 0.397
40, 4.0, 1, 5.0, 15, 32, 0.414
40, 6.0, 1, 6.0, 15, 32, 0.414
40, 5.75, 1, 5.0, 15, 32, 0.396
40, 5.75, 1, 11.0, 15, 32, 0.389
40, 4.5, 1, 9.0, 15, 32, 0.386
40, 6.5, 1, 12.5, 15, 32, 0.392
40, 5.75, 1, 7.0, 15, 32, 0.381
40, 6.25, 1, 8.0, 15, 32, 0.417
40, 6.25, 1, 9.5, 15, 32, 0.391
40, 4.75, 1, 12.0, 15, 32, 0.392
40, 4.25, 1, 10.5, 15, 32, 0.345
40, 4.75, 1, 6.0, 15, 32, 0.342
40, 5.0, 1, 7.0, 15, 32, 0.374
40, 5.75, 1, 14.0, 15, 32, 0.371
40, 4.0, 1, 14.5, 15, 32, 0.412
40, 4.75, 1, 13.0, 15, 32, 0.354
40, 6.25, 1, 11.0, 15, 32, 0.378
40, 5.75, 1, 6.5, 15, 32, 0.386
40, 4.75, 1, 6.5, 15, 32, 0.384
40, 6.75, 1, 14.5, 15, 32, 0.397
40, 4.25, 1, 7.0, 15, 32, 0.412
40, 4.25, 1, 7.5, 15, 32, 0.389
40, 6.5, 1, 9.5, 15, 32, 0.409
