L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 4.0, 1, 10.5, 15, 32, 0.397
40, 4.25, 1, 10.0, 15, 32, 0.3909
40, 5.5, 1, 7.0, 15, 32, 0.3775
40, 4.75, 1, 9.5, 15, 32, 0.3795
40, 5.25, 1, 14.5, 15, 32, 0.383
40, 6.5, 1, 7.0, 15, 32, 0.4059
40, 5.5, 1, 9.0, 15, 32, 0.3867
40, 4.75, 1, 5.5, 15, 32, 0.3811
40, 6.0, 1, 8.0, 15, 32, 0.3992
40, 6.75, 1, 14.0, 15, 32, 0.408
40, 4.5, 1, 12.5, 15, 32, 0.3821
40, 4.5, 1, 11.5, 15, 32, 0.3719
40, 5.5, 1, 13.0, 15, 32, 0.3857
40, 4.75, 1, 13.0, 15, 32, 0.3672
40, 6.5, 1, 6.0, 15, 32, 0.4141
40, 6.0, 1, 8.5, 15, 32, 0.3968
40, 4.5, 1, 7.0, 15, 32, 0.3873
40, 4.5, 1, 12.0, 15, 32, 0.3762
40, 5.0, 1, 10.5, 15, 32, 0.358
40, 4.0, 1, 6.5, 15, 32, 0.3992
40, 6.25, 1, 10.0, 15, 32, 0.4099
40, 6.5, 1, 9.0, 15, 32, 0.417
40, 6.75, 1, 9.5, 15, 32, 0.415
40, 4.25, 1, 8.5, 15, 32, 0.3788
40, 4.25, 1, 13.0, 15, 32, 0.3724
40, 4.0, 1, 11.0, 15, 32, 0.3831
40, 5.0, 1, 9.5, 15, 32, 0.3805
40, 5.75, 1, 9.5, 15, 32, 0.3971
40, 4.25, 1, 5.5, 15, 32, 0.3998
40, 4.0, 1, 5.0, 15, 32, 0.4045
40, 6.0, 1, 6.0, 15, 32, 0.419
40, 5.25, 1, 5.0, 15, 32, 0.3925
40, 6.5, 1, 11.0, 15, 32, 0.3966
40, 4.75, 1, 9.0, 15, 32, 0.3887
40, 6.5, 1, 12.5, 15, 32, 0.4158
40, 5.75, 1, 7.0, 15, 32, 0.4049
40, 4.25, 1, 8.0, 15, 32, 0.3811
40, 6.25, 1, 9.5, 15, 32, 0.4117
40, 4.25, 1, 12.0, 15, 32, 0.3774
40, 4.25, 1, 10.5, 15, 32, 0.3696
40, 5.0, 1, 7.0, 15, 32, 0.3674
40, 5.75, 1, 14.0, 15, 32, 0.3933
40, 4.0, 1, 14.5, 15, 32, 0.3936
40, 4.25, 1, 9.5, 15, 32, 0.3787
40, 6.25, 1, 11.0, 15, 32, 0.3929
40, 5.75, 1, 6.5, 15, 32, 0.3914
40, 4.75, 1, 6.5, 15, 32, 0.3786
40, 6.75, 1, 14.5, 15, 32, 0.4063
40, 6.25, 1, 7.0, 15, 32, 0.4102
40, 6.25, 1, 5.5, 15, 32, 0.4154
40, 6.5, 1, 9.5, 15, 32, 0.4142
